vender,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
Philips_Brilliance_iCT,iCT_small_SER_0009,Low Density,19.6,14.998148820193306,4.2,3.229542101439897,0.2,0.44275354096415537
Philips_Brilliance_iCT,iCT_small_SER_0009,Medium Density,39.3,36.23811862369997,8.5,6.580587110354306,0.3,-0.042928875137676265
Philips_Brilliance_iCT,iCT_small_SER_0009,High Density,78.5,78.25703414374216,17.0,15.441455384296745,0.6,0.4493873229992434
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG1,Low Density,19.6,12.981535087517901,4.2,2.695750957281572,0.2,0.4090067010899535
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG1,Medium Density,39.3,31.089142461707155,8.5,5.977266479179221,0.3,-0.3717444567799588
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG1,High Density,78.5,62.58377670438073,17.0,15.5498984551771,0.6,0.8197599328401997
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG2,Low Density,19.6,17.694061720060468,4.2,3.2998110760748087,0.2,-0.03545625748449107
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG2,Medium Density,39.3,30.948709931946453,8.5,7.32228344071337,0.3,0.2635462236904364
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG2,High Density,78.5,65.55272993107025,17.0,12.763018360889266,0.6,0.04938366145223706
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG3,Low Density,19.6,11.97445621502473,4.2,3.040294271716254,0.2,-0.15606580289372537
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG3,Medium Density,39.3,30.08329298474469,8.5,5.841060677899479,0.3,0.6679965656146779
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG3,High Density,78.5,60.270368362038425,17.0,13.288521221122949,0.6,-0.629037716225761
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG4,Low Density,19.6,16.827845726968068,4.2,3.093958862754475,0.2,-0.527363157150489
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG4,Medium Density,39.3,34.39941055218769,8.5,7.959092275664337,0.3,0.17079846406566973
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG4,High Density,78.5,64.90243500642718,17.0,13.563581318686737,0.6,-0.7427995698551251
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG5,Low Density,19.6,16.916880487360146,4.2,1.081825695560182,0.2,-0.10581839797877966
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG5,Medium Density,39.3,31.92893176845811,8.5,6.10590841687972,0.3,-0.09903103717247085
Siemens_SOMATOM_Force,TEST2_CA_QRM_LG5,High Density,78.5,64.42185151665949,17.0,14.139628293461284,0.6,-0.012921711962161408
Siemens_SOMATOM_Force,TEST2_CA_QRM_SM1,Low Density,19.6,18.083399777656094,4.2,5.451485714034715,0.2,-0.0958770294034652
Siemens_SOMATOM_Force,TEST2_CA_QRM_SM1,Medium Density,39.3,36.27258975512847,8.5,6.289118045353009,0.3,0.29611180758527506
